#  Z   A El rea        E1       DE1        E2       DE2     E1def    DE1def     E2def    DE2def
  23  51 V  3b    17.7600    0.2300   22.3700    0.6000   18.6302    0.0000    0.0000    0.0000
  23  51 V  4a    17.3600    0.0400   19.9300    0.0200   18.6302    0.0000    0.0000    0.0000
  23  51 V  4b    18.3800    0.0200  110.6300  197.9000   18.6302    0.0000    0.0000    0.0000
  24  52 Cr 3a    19.1600    0.0700    0.0000    0.0000   18.5927    0.0000    0.0000    0.0000
  24  52 Cr 3b    19.2400    0.1800    0.0000    0.0000   18.5927    0.0000    0.0000    0.0000
  24  52 Cr 4a    18.2400    0.0400    0.0000    0.0000   18.5927    0.0000    0.0000    0.0000
  24  52 Cr 4b    18.5500    0.0500    0.0000    0.0000   18.5927    0.0000    0.0000    0.0000
  25  55 Mn 4     16.4300    0.0600   19.7700    0.1700   18.3637    0.0000    0.0000    0.0000
  25  55 Mn 4     16.8700    0.1400   19.8000    0.4100   16.4696    0.0000   19.5810    0.0000
  25  55 Mn 4a    15.9600    0.0800   18.9100    0.1100   16.4696    0.0000   19.5810    0.0000
  25  55 Mn 4b    15.9700    0.0800   18.9300    0.1200   16.4696    0.0000   19.5810    0.0000
  26  54 Fe 0     19.3500    0.0800    0.0000    0.0000   16.5875    0.0000   19.7212    0.0000
  27  59 Co 4     16.4300    0.0700   18.6400    0.2000   18.1169    0.0000    0.0000    0.0000
  27  59 Co 4     15.3500    0.1100   18.2100    0.3000   16.7696    0.0000   18.9184    0.0000
  27  59 Co 4a    16.2100    0.0400   18.8300    0.0800   16.7696    0.0000   18.9184    0.0000
  27  59 Co 4b    16.2100    0.0400   18.8300    0.0800   16.7696    0.0000   18.9184    0.0000
  28  58 Ni 3a    18.7800    0.0500    0.0000    0.0000   16.8780    0.0000   19.0407    0.0000
  28  58 Ni 3b    18.6600    0.1000    0.0000    0.0000   18.2340    0.0000    0.0000    0.0000
  28  58 Ni 3a    18.9800    0.1000    0.0000    0.0000   18.2340    0.0000    0.0000    0.0000
  28  58 Ni 3b    18.7400    0.2000    0.0000    0.0000   18.2340    0.0000    0.0000    0.0000
  28  58 Ni 4     18.2600    0.0600    0.0000    0.0000   18.2340    0.0000    0.0000    0.0000
  28  58 Ni 4     18.7900    0.0200    0.0000    0.0000   18.2340    0.0000    0.0000    0.0000
  28  60 Ni 3a    16.6900    0.1800   19.5700    0.2800   18.0807    0.0000    0.0000    0.0000
  28  60 Ni 3b    16.4600    0.1900   19.0500    0.4300   17.8050    0.0000   18.2230    0.0000
  28  60 Ni 4     16.3000    0.0900   18.4900    0.3900   17.8050    0.0000   18.2230    0.0000
  28  60 Ni 4     16.5600    0.0600   19.1300    0.0800   17.8050    0.0000   18.2230    0.0000
  29  63 Cu 3a    16.4300    0.2800   20.1500    0.3400   17.6147    0.0000   18.0282    0.0000
  29  63 Cu 3b    16.3500    0.6400   20.1200    1.0100   16.3975    0.0000   18.7948    0.0000
  29  63 Cu 3a    16.2800    0.5000   20.2300    0.9000   16.3975    0.0000   18.7948    0.0000
  29  63 Cu 3b    16.2900    0.5800   20.2600    1.0200   16.3975    0.0000   18.7948    0.0000
  29  63 Cu 4     16.2500    0.1000   19.6200    0.1900   16.3975    0.0000   18.7948    0.0000
  29  63 Cu 5     16.1900    0.3400   17.9300    1.7100   16.3975    0.0000   18.7948    0.0000
  29  63 Cu 6     16.7200    0.1000   19.0800    0.1500   16.3975    0.0000   18.7948    0.0000
  29  65 Cu 3a    16.9200    0.0700    0.0000    0.0000   16.2511    0.0000   18.6270    0.0000
  29  65 Cu 3b    16.8500    0.2600    0.0000    0.0000   17.0063    0.0000   19.4888    0.0000
  29  65 Cu 3a    17.1400    0.2200    0.0000    0.0000   17.0063    0.0000   19.4888    0.0000
  29  65 Cu 3b    16.9600    0.3700    0.0000    0.0000   17.0063    0.0000   19.4888    0.0000
  29  65 Cu 4     16.6800    0.0600    0.0000    0.0000   17.0063    0.0000   19.4888    0.0000
  29  65 Cu 5     17.0200    0.1800    0.0000    0.0000   17.0063    0.0000   19.4888    0.0000
  29   0 Cu 1a    18.1200    0.1000    0.0000    0.0000   17.1596    0.0000   19.6644    0.0000
  29   0 Cu 1b    17.9000    0.2500    0.0000    0.0000   16.3975    0.0000   18.7948    0.0000
  29   0 Cu 4     17.2400    0.0400    0.0000    0.0000   16.3975    0.0000   18.7948    0.0000
  29   0 Cu 4a    17.1700    0.0800    0.0000    0.0000   16.3975    0.0000   18.7948    0.0000
  29   0 Cu 4b    17.0300    0.0700    0.0000    0.0000   16.3975    0.0000   18.7948    0.0000
  29   0 Cu 4a    15.1600    1.0300    0.0000    0.0000   16.3975    0.0000   18.7948    0.0000
  29   0 Cu 4b    14.9800    1.4900    0.0000    0.0000   16.3975    0.0000   18.7948    0.0000
  30  64 Zn 8     16.2300    0.1300   19.1600    0.2500   16.3652    0.0000   18.7578    0.0000
  30  65 Zn 1a    16.1700    0.1100   19.0400    0.2100   15.8829    0.0000   19.0089    0.0000
