#  Z   A El rea        E1       DE1        E2       DE2     E1def    DE1def     E2def    DE2def
  39  89 Y  4     17.6500    0.0100    0.0000    0.0000   16.2741    0.0000   16.7705    0.0000
  39  89 Y  4     16.8400    0.0100    0.0000    0.0000   16.2741    0.0000   16.7705    0.0000
  39  89 Y  12    16.9300    0.0300    0.0000    0.0000   16.2741    0.0000   16.7705    0.0000
  40  90 Zr 3a    16.9000    0.0500    0.0000    0.0000   16.2610    0.0000   16.7571    0.0000
  40  90 Zr 3b    16.8700    0.1600    0.0000    0.0000   16.2610    0.0000   16.7571    0.0000
  40  90 Zr 4     16.9300    0.0200    0.0000    0.0000   16.2610    0.0000   16.7571    0.0000
  40  90 Zr 4     16.9100    0.0100    0.0000    0.0000   16.2610    0.0000   16.7571    0.0000
  40  90 Zr 8     16.8100    0.0100    0.0000    0.0000   16.2610    0.0000   16.7571    0.0000
  40  91 Zr 4     16.6400    0.0200    0.0000    0.0000   16.0444    0.0000   16.7898    0.0000
  40  91 Zr 5     16.6300    0.0900    0.0000    0.0000   16.0444    0.0000   16.7898    0.0000
  40  92 Zr 4     16.3400    0.0200    0.0000    0.0000   15.9889    0.0000   16.7318    0.0000
  40  94 Zr 4     16.3500    0.0300    0.0000    0.0000   15.7897    0.0000   16.6645    0.0000
  40  94 Zr 5     16.4700    0.1100    0.0000    0.0000   15.7897    0.0000   16.6645    0.0000
  41  93 Nb 8     16.7000    0.0200    0.0000    0.0000   15.9781    0.0000   16.7204    0.0000
  42  92 Mo 3a    17.2800    0.0700    0.0000    0.0000   16.2271    0.0000   16.7222    0.0000
  42  92 Mo 3b    17.2100    0.1700    0.0000    0.0000   16.2271    0.0000   16.7222    0.0000
  42  92 Mo 4     16.8900    0.0100    0.0000    0.0000   16.2271    0.0000   16.7222    0.0000
  42  92 Mo 4a    16.6700    0.0400    0.0000    0.0000   16.2271    0.0000   16.7222    0.0000
  42  92 Mo 4b    16.6400    0.0500    0.0000    0.0000   16.2271    0.0000   16.7222    0.0000
  42  94 Mo 4     16.7300    0.0200    0.0000    0.0000   15.9646    0.0000   16.7064    0.0000
  42  96 Mo 4     16.4200    0.0700    0.0000    0.0000   15.6206    0.0000   16.7398    0.0000
  42  98 Mo 4     15.9600    0.0400    0.0000    0.0000   14.7103    0.0000   17.1871    0.0000
  42  98 Mo 4a    15.6500    0.0500    0.0000    0.0000   14.7103    0.0000   17.1871    0.0000
  42  98 Mo 4b    15.6700    0.0900    0.0000    0.0000   14.7103    0.0000   17.1871    0.0000
  42 100 Mo 9     16.0200    0.0400    0.0000    0.0000   14.1579    0.0000   17.4555    0.0000
  45 103 Rh 3a    16.5900    0.1100    0.0000    0.0000   14.6154    0.0000   17.0337    0.0000
  45 103 Rh 3b    16.6200    0.2500    0.0000    0.0000   14.6154    0.0000   17.0337    0.0000
  45 103 Rh 4     16.4700    0.0500    0.0000    0.0000   14.6154    0.0000   17.0337    0.0000
  45 103 Rh 4     16.8300    0.2700    0.0000    0.0000   14.6154    0.0000   17.0337    0.0000
